SM2 100k Test started at 2026-08-24T16:28:46.399Z
[2026-08-24T16:28:46.454Z] Warmup OK, starting 100k rounds...
[2026-08-24T16:29:03.309Z] Round 2000/100000 done — 40.2 rounds/sec
[2026-08-24T16:29:14.030Z] Round 1000/100000 done — 36.2 rounds/sec
[2026-08-24T16:29:28.795Z] Round 3000/100000 done — 39.9 rounds/sec
[2026-08-24T16:29:42.246Z] Round 2000/100000 done — 35.8 rounds/sec
[2026-08-24T16:29:57.142Z] Round 4000/100000 done — 38.6 rounds/sec
[2026-08-24T16:30:07.950Z] Round 3000/100000 done — 36.8 rounds/sec
[2026-08-24T16:30:23.526Z] Round 5000/100000 done — 38.5 rounds/sec
[2026-08-24T16:30:35.794Z] Round 4000/100000 done — 36.6 rounds/sec
[2026-08-24T16:30:48.590Z] Round 6000/100000 done — 38.7 rounds/sec
[2026-08-24T16:30:59.459Z] Round 5000/100000 done — 37.6 rounds/sec
[2026-08-24T16:31:11.631Z] Round 7000/100000 done — 39.3 rounds/sec
[2026-08-24T16:31:21.560Z] Round 6000/100000 done — 38.7 rounds/sec
[2026-08-24T16:31:33.671Z] Round 8000/100000 done — 40.0 rounds/sec
[2026-08-24T16:31:43.450Z] Round 7000/100000 done — 39.5 rounds/sec
[2026-08-24T16:31:57.039Z] Round 9000/100000 done — 40.3 rounds/sec
[2026-08-24T16:32:08.013Z] Round 8000/100000 done — 39.7 rounds/sec
[2026-08-24T16:32:21.360Z] Round 10000/100000 done — 40.4 rounds/sec
[2026-08-24T16:32:32.410Z] Round 9000/100000 done — 39.8 rounds/sec
[2026-08-24T16:32:46.083Z] Round 11000/100000 done — 40.4 rounds/sec
[2026-08-24T16:32:57.218Z] Round 10000/100000 done — 39.9 rounds/sec
[2026-08-24T16:33:10.496Z] Round 12000/100000 done — 40.4 rounds/sec
[2026-08-24T16:33:21.667Z] Round 11000/100000 done — 40.0 rounds/sec
[2026-08-24T16:33:35.218Z] Round 13000/100000 done — 40.4 rounds/sec
[2026-08-24T16:33:44.979Z] Round 12000/100000 done — 40.2 rounds/sec
[2026-08-24T16:33:56.781Z] Round 14000/100000 done — 40.8 rounds/sec
[2026-08-24T16:34:06.666Z] Round 13000/100000 done — 40.6 rounds/sec
[2026-08-24T16:34:18.651Z] Round 15000/100000 done — 41.1 rounds/sec
[2026-08-24T16:34:28.451Z] Round 14000/100000 done — 40.9 rounds/sec
[2026-08-24T16:34:40.594Z] Round 16000/100000 done — 41.3 rounds/sec
[2026-08-24T16:34:50.028Z] Round 15000/100000 done — 41.3 rounds/sec
[2026-08-24T16:35:02.522Z] Round 17000/100000 done — 41.6 rounds/sec
[2026-08-24T16:35:12.869Z] Round 16000/100000 done — 41.4 rounds/sec
[2026-08-24T16:35:26.474Z] Round 18000/100000 done — 41.6 rounds/sec
[2026-08-24T16:35:37.769Z] Round 17000/100000 done — 41.3 rounds/sec
[2026-08-24T16:35:51.180Z] Round 19000/100000 done — 41.5 rounds/sec
[2026-08-24T16:36:01.848Z] Round 18000/100000 done — 41.3 rounds/sec
[2026-08-24T16:36:15.169Z] Round 20000/100000 done — 41.5 rounds/sec
[2026-08-24T16:36:25.877Z] Round 19000/100000 done — 41.3 rounds/sec
[2026-08-24T16:36:39.452Z] Round 21000/100000 done — 41.5 rounds/sec
[2026-08-24T16:36:50.130Z] Round 20000/100000 done — 41.3 rounds/sec
[2026-08-24T16:37:03.945Z] Round 22000/100000 done — 41.5 rounds/sec
[2026-08-24T16:37:14.588Z] Round 21000/100000 done — 41.3 rounds/sec
[2026-08-24T16:37:27.219Z] Round 23000/100000 done — 41.5 rounds/sec
[2026-08-24T16:37:37.250Z] Round 22000/100000 done — 41.4 rounds/sec
[2026-08-24T16:37:49.178Z] Round 24000/100000 done — 41.7 rounds/sec
[2026-08-24T16:37:58.375Z] Round 23000/100000 done — 41.7 rounds/sec
[2026-08-24T16:38:10.335Z] Round 25000/100000 done — 41.9 rounds/sec
[2026-08-24T16:38:19.479Z] Round 24000/100000 done — 41.9 rounds/sec
[2026-08-24T16:38:31.622Z] Round 26000/100000 done — 42.1 rounds/sec
[2026-08-24T16:38:40.910Z] Round 25000/100000 done — 42.1 rounds/sec
[2026-08-24T16:38:53.163Z] Round 27000/100000 done — 42.2 rounds/sec
